R14,46.59,10.11,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R15,40.39,10.03,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,134.15,25.76,90.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,154.57,-17.93,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,91.66,34.06,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,140.96,17.55,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,152.77,-17.95,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,130.67,25.48,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,94.49,35.01,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB,155.53,20.15,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB1,155.59,17.88,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,104.19,-15.87,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,100.67,-12.59,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,95.61,-5.21,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,52.25,83.92,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,31.37,82.26,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,97.54,19.95,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,62.44,82.98,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,84.93,2.64,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,47.49,82.97,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,146.39,-5.01,180.00,BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,107.41,-15.84,90.00,,SJ
TP1,14.99,37.59,180.00,TP,TP20R
TP10,23.92,11.19,180.00,TP,TP20R
TP11,16.49,6.99,0.00,TP,TP20R
TP12,20.23,37.01,0.00,TP,TP20R
TP13,24.08,36.91,0.00,TP,TP20R
TP14,123.43,27.21,0.00,TP,TP20R
TP15,20.47,12.49,180.00,TP,TP20R
TP16,13.87,5.19,180.00,TP,TP20R
TP17,74.48,0.81,0.00,TP,TP20R
TP2,16.33,40.34,0.00,TP,TP20R
TP3,127.05,34.01,180.00,TP,TP20R
TP4,151.07,28.79,0.00,TP,TP20R
TP5,162.69,-17.21,0.00,TP,TP20R
TP6,8.11,74.69,0.00,TP,TP20R
TP7,45.43,24.09,0.00,TP,TP20R
TP8,17.95,9.29,0.00,TP,TP20R
TP9,13.47,40.36,0.00,TP,TP20R
U1,19.55,24.80,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U2,96.18,15.74,90.00,MAX17048G+T10,SON50P200X200X80-9N
U3,90.30,24.15,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,39.09,25.86,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
